RANK_ESTRATEGICO,SECCION,SUBCONJUNTO,LN_TOTAL,NIVEL_PRIORIDAD_OP,IRE_SCORE,PROB_MIN,PROB_MAX,ES_CERTEZA_SEC,certeza_en_todos,INDICE_RENTABILIDAD,fuerza_morena,PARTICIPACION_2024,fuerza_morena_norm,n_manzanas_sec,PROB_EMP_MZA_BASE
105,3043,S3,970.0,P4_BAJA,0.2278266666666666,0.0891,0.4432,False,False,0.194158,0.381104033970276,0.6369,,8.0,0.085435
106,2996,S3,1126.0,P4_BAJA,0.2654733333333333,0.101,0.5009,False,False,0.188533,0.328695652173913,0.7122,,9.0,0.088491
107,3110,S3,888.0,P4_BAJA,0.20852,0.0787,0.4,False,False,0.185593,0.3950617283950617,0.6846,,5.0,0.125112
108,3084,S3,1100.0,P4_BAJA,0.2590266666666666,0.1027,0.4934,False,False,0.175607,0.3168044077134986,0.7264,,7.0,0.111011
109,3112,S3,897.0,P4_BAJA,0.2097066666666666,0.0792,0.4069,False,False,0.170637,0.3668903803131991,0.7606,,7.0,0.089874
110,3115,S3,903.0,P4_BAJA,0.2123266666666666,0.0776,0.4036,False,False,0.168281,0.359090909090909,0.7057,,13.0,0.048998
111,3075,S3,889.0,P4_BAJA,0.2107066666666666,0.0818,0.4037,False,False,0.167464,0.3599088838268792,0.754,,7.0,0.090303
112,3080,S3,730.0,P4_BAJA,0.1713133333333333,0.0647,0.3333,False,False,0.166314,0.4248633879781421,0.7473,,12.0,0.042828
113,3056,S2,1175.0,P4_BAJA,0.3204233333333333,0.1079,0.7389,False,False,0.15742,0.2479338842975206,0.7554,,14.0,0.068662
114,3044,S3,934.0,P4_BAJA,0.22078,0.0875,0.429,False,False,0.150896,0.3188405797101449,0.706,,9.0,0.073593
115,3010,S3,706.0,P4_BAJA,0.1662,0.067,0.3167,False,False,0.132158,0.360056258790436,0.6976,,5.0,0.09972
116,2997,S3,598.0,P4_BAJA,0.14064,0.0545,0.2782,False,False,0.127188,0.4003378378378378,0.7348,,3.0,0.14064
117,2974,S3,759.0,P4_BAJA,0.1789933333333333,0.0666,0.3534,False,False,0.122997,0.3202033036848793,0.8094,,7.0,0.076711
118,2973,S3,783.0,P4_BAJA,0.1836,0.0701,0.3533,False,False,0.115158,0.2980891719745223,0.8166,,18.0,0.0306
119,2972,S3,741.0,P4_BAJA,0.1744666666666666,0.0662,0.3446,False,False,0.114969,0.3098039215686274,0.7765,,8.0,0.065425
120,3024,S3,756.0,P4_BAJA,0.1768266666666666,0.0665,0.3381,False,False,0.112535,0.3014804845222072,0.7483,,5.0,0.106096
121,2979,S3,757.0,P4_BAJA,0.1805066666666666,0.0711,0.3439,False,False,0.110341,0.2922077922077922,0.7753,,20.0,0.027076
122,3020,S3,583.0,P4_BAJA,0.13784,0.0533,0.2625,False,False,0.107554,0.3545611015490533,0.7315,,8.0,0.05169
123,3000,S2,1220.0,P4_BAJA,0.3327066666666666,0.1119,0.7663,False,False,0.102831,0.1807031888798037,0.8234,,12.0,0.083177
124,2976,S3,784.0,P4_BAJA,0.1847599999999999,0.0724,0.3581,False,False,0.100351,0.267065868263473,0.8012,,31.0,0.01788
125,3108,S3,661.0,P4_BAJA,0.15624,0.0613,0.3059,False,False,0.096389,0.2942898975109809,0.7247,,5.0,0.093744
126,3005,S3,1069.0,P4_BAJA,0.2518133333333333,0.0991,0.4798,False,False,0.092791,0.2026266416510319,0.7946,,18.0,0.041969
127,2978,S3,788.0,P4_BAJA,0.1855866666666666,0.0749,0.355,False,False,0.090817,0.2472187886279357,0.796,,16.0,0.034797
128,3027,S2,1126.0,P4_BAJA,0.30694,0.0964,0.7129,False,False,0.088048,0.1725067385444744,0.805,,6.0,0.15347
129,3054,S3,776.0,P4_BAJA,0.1814133333333333,0.0678,0.3481,False,False,0.08752,0.2446675031367628,0.7792,,6.0,0.090707
130,3101,S3,539.0,P4_BAJA,0.12738,0.0492,0.2397,False,False,0.083066,0.3072727272727272,0.7945,,11.0,0.03474
131,3073,S3,1030.0,P4_BAJA,0.2437066666666666,0.0956,0.4651,False,False,0.074163,0.1789473684210526,0.5091,,5.0,0.146224
132,3055,S3,887.0,P4_BAJA,0.2093666666666666,0.0805,0.4016,False,False,0.071343,0.192393736017897,0.7931,,9.0,0.069789
133,3006,S3,884.0,P4_BAJA,0.2077733333333333,0.0816,0.4005,False,False,0.070704,0.1922222222222222,0.8456,,12.0,0.051943
134,3026,S2,1205.0,P4_BAJA,0.32873,0.1094,0.7567,False,False,0.069529,0.1447049312853678,0.8278,,11.0,0.089654
135,2999,S3,992.0,P4_BAJA,0.2326666666666667,0.0889,0.4426,False,False,0.069013,0.17610710607621,0.8486,,9.0,0.077556
136,2977,S3,654.0,P4_BAJA,0.15504,0.0595,0.3008,False,False,0.064946,0.2212257100149476,0.8251,,14.0,0.033223
137,3048,S3,849.0,P4_BAJA,0.19884,0.078,0.3788,False,False,0.062227,0.1821345707656612,0.8051,,4.0,0.14913
138,2975,S3,489.0,P4_BAJA,0.1146066666666666,0.0437,0.2263,False,False,0.06146,0.2645290581162324,0.7996,,13.0,0.026448
139,3022,S3,201.0,P4_BAJA,0.0475,0.0177,0.0891,False,False,0.042059,0.3933649289099526,0.7109,,1.0,0.1425
140,2982,S2,1249.0,P4_BAJA,0.3402866666666667,0.1161,0.7865,False,False,0.041477,0.1116389548693586,0.806,,4.0,0.255215
141,3007,S3,1009.0,P4_BAJA,0.2383333333333333,0.0873,0.4584,False,False,0.036378,0.1229838709677419,0.7319,,5.0,0.143
142,2980,S3,626.0,P4_BAJA,0.1483333333333333,0.0571,0.2828,False,False,0.030355,0.1421725239616613,0.845,,2.0,0.2225
143,2981,S3,841.0,P4_BAJA,0.2000866666666666,0.078,0.3796,False,False,0.030091,0.1221556886227544,0.8168,,3.0,0.200087
144,3057,S3,570.0,P4_BAJA,0.13426,0.0529,0.2613,False,False,0.028808,0.1458333333333333,0.7812,,24.0,0.016782
145,3002,S3,883.0,P4_BAJA,0.2099066666666666,0.081,0.4068,False,False,0.02724,0.1145475372279496,0.8351,,4.0,0.15743
146,3107,S3,162.0,P4_BAJA,0.0383666666666666,0.0147,0.0757,False,False,0.02573,0.3141025641025641,0.5833,,2.0,0.05755
147,3003,S3,611.0,P4_BAJA,0.1425466666666666,0.0553,0.2699,False,False,0.005076,0.0798045602605863,0.7948,,2.0,0.21382
148,2983,S3,915.0,P4_BAJA,0.2168066666666666,0.0822,0.4157,False,False,0.001551,0.0693069306930693,0.8438,,2.0,0.32521
149,2998,S3,1024.0,P4_BAJA,0.23922,0.0917,0.4539,False,False,0.0,0.0666666666666666,0.8618,,6.0,0.11961
