DISTRITO_LOCAL,CLAVE_DEM,DEMARCACIÓN TERRITORIAL,SECCIÓN,TOTAL DE CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,ROP,HAAC,PRMC,ECR,EVFA,AGP,RGS,CNR,VN,VOTACIÓN TOTAL,LISTA NOMINAL
33,8,LA MAGDALENA CONTRERAS,3073,2,63,148,10,10,12,9,197,2,11,2,11,6,3,0,0,0,0,0,0,,,,,,,,0,25,509,981
33,8,LA MAGDALENA CONTRERAS,3074,3,77,288,19,14,19,26,350,10,24,11,16,11,1,0,0,1,1,0,5,,,,,,,,0,22,895,1739
33,8,LA MAGDALENA CONTRERAS,3075,2,38,176,12,11,13,24,176,8,17,11,10,6,2,0,1,2,0,0,1,,,,,,,,0,23,531,866
33,8,LA MAGDALENA CONTRERAS,3076,2,69,258,24,14,8,15,208,24,10,7,10,10,3,0,0,2,0,0,1,,,,,,,,1,16,680,1255
33,8,LA MAGDALENA CONTRERAS,3077,3,75,322,19,10,14,24,338,7,12,16,11,14,0,1,1,0,1,0,5,,,,,,,,4,11,885,1629
33,8,LA MAGDALENA CONTRERAS,3078,3,224,424,9,14,14,35,338,10,12,11,23,11,2,0,1,2,1,0,4,,,,,,,,2,19,1156,1846
33,8,LA MAGDALENA CONTRERAS,3079,2,158,294,19,6,10,13,263,7,5,4,21,11,3,0,1,2,0,0,2,,,,,,,,1,19,839,1303
33,8,LA MAGDALENA CONTRERAS,3080,1,43,122,7,5,4,9,229,2,6,1,7,3,0,0,0,2,0,1,1,,,,,,,,1,7,450,735
33,8,LA MAGDALENA CONTRERAS,3081,2,111,231,10,6,10,14,332,3,16,4,19,17,3,0,0,0,0,0,2,,,,,,,,0,26,804,1281
33,8,LA MAGDALENA CONTRERAS,3082,2,221,218,20,11,17,18,275,2,5,3,16,12,3,0,1,2,0,0,0,,,,,,,,2,12,838,1284
33,8,LA MAGDALENA CONTRERAS,3083,3,215,341,12,7,8,15,284,3,16,2,48,21,2,0,0,2,0,1,4,,,,,,,,1,25,1007,1784
33,8,LA MAGDALENA CONTRERAS,3084,2,40,248,13,6,8,8,165,4,14,6,12,13,0,0,0,1,0,0,1,,,,,,,,0,10,549,958
33,8,LA MAGDALENA CONTRERAS,3085,2,99,281,10,8,9,18,212,5,14,5,18,11,2,0,0,2,0,0,1,,,,,,,,2,17,714,1167
33,8,LA MAGDALENA CONTRERAS,3086,3,95,349,12,21,20,22,419,18,26,9,28,14,0,0,0,0,1,0,3,,,,,,,,0,24,1061,2018
33,8,LA MAGDALENA CONTRERAS,3087,4,69,456,19,26,26,33,539,10,24,22,13,10,4,1,1,1,0,0,5,,,,,,,,0,40,1299,2852
33,8,LA MAGDALENA CONTRERAS,3088,9,125,923,52,35,69,72,1252,30,71,27,72,47,3,0,0,11,0,1,16,,,,,,,,4,95,2905,6141
33,8,LA MAGDALENA CONTRERAS,3089,5,74,613,28,21,59,33,735,10,33,4,38,27,5,0,0,4,3,2,6,,,,,,,,2,30,1727,3522
33,8,LA MAGDALENA CONTRERAS,3090,4,44,474,23,22,11,16,497,2,22,5,63,7,4,3,0,5,0,0,4,,,,,,,,1,38,1241,2464
33,8,LA MAGDALENA CONTRERAS,3091,4,217,510,25,16,13,18,473,7,11,7,125,18,5,0,2,5,2,0,2,,,,,,,,0,32,1488,2412
