"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"PADRON
HOMBRES","PADRON
MUJERES","PADRON
NO BINARIO","PADRON
ELECTORAL","LISTA
HOMBRES","LISTA
MUJERES","LISTA
NO BINARIO","LISTA
NOMINAL",,Manzanas,,LN,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3024,353,411,0,764,350,406,0,756,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2972,347,406,0,753,340,401,0,741,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3080,347,393,0,740,344,386,0,730,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3010,322,396,0,718,318,388,0,706,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3108,337,334,0,671,332,329,0,661,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2977,282,383,0,665,278,376,0,654,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2980,285,358,0,643,275,351,0,626,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3003,281,343,0,624,279,332,0,611,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2997,297,310,0,607,290,308,0,598,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3020,284,307,0,591,280,303,0,583,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3057,232,356,0,588,225,345,0,570,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3101,241,308,0,549,235,304,0,539,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2975,236,267,0,503,231,258,0,489,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3022,91,115,0,206,90,111,0,201,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3107,81,84,0,165,81,81,0,162,,,,,
